,Behälter,bl1_0,Bereich,bl1_1,Motor,bl1_2,Prozess,bl1_3,Gang,bl1_4,Stück,bl1_5,Zustand,bl1_6,Verbindung,bl1_7,Art,bl1_8,Flüssigkeit,bl1_9,Vorlage,bl1_10,Handeln,bl1_11,Ventil,bl1_12,Untersuchung,bl1_13,Beeinträchtigung,bl1_14,Veränderung,bl1_15,Substanz,bl1_16,Zeichen,bl1_17
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Maschinenpool,,Kupplungreaktor,,Sumpfaustragspumpe,,Anzeige,,Motorverteiler,,Phaseneinsteller,,Einlauf,,Phenotiazin,,Anfahren,,Glykol,,Masevorlage,,Polizeifilter,,Ablassventil,,Messung,,Verstopfung,,Rauchentwicklung,,Wasser-Puffer,,Kg/h,
5,Container,,Wasserphase,,Dichtung,,Hinweis,,Abwassersammler,,Destop,,Probelauf,,Frischxylol,,Trockenlaufsonde,,Rücklauf,,Rein-Vorlage,,Standhaltung,,Bodenventil,,Xylolüberwachung,,Störung,,Schichtende,,Puffer,,Destillat,
6,Flashtopf,,Wärmekammer,,Vorlagepumpe,,Anlage,,Mulmrückstandssammler,,Steckscheibe,,Bereich,,Maske,,Warmwasserüberlauf,,Ethanol,,Rein-MIBK-Vorlage,,Saugstutzen,,Ventil,,Leitfähigkeitsmessung,,Beispielstörung,,Verschiebung,,Streichdampf,,Xyloldestillat,
7,Safener-Container,,Problem,,Vakuumaschine,,Nachmittag,,Mulm-RS-Sammler,,Phasenversteller,,Gesamtstatus,,Wasser/Xylol,,Leeren,,Roh-Ethanol,,ABC-Vorlage,,Ventil,,Taktungsventil,,Standmessung,,Funktionsstörung,,Grund,,Dampf,,Aufsatzkolonne,
8,Destillatablaufleitung,,Vorfeld,,Flüssigkeitsringpumpe,,Marlothermanlage,,Stand,,Kolonne,,Ansatz,,Spülxylol,,KONTROLLIEREN,,Wasser,,MASE-Vorlage,,Klemme,,Druckluftventil,,Probe,,Teil-verstopfung,,Schwankung,,Wasserpuffer,,Wert,
9,Fällbehälter,,Lüftung,,Marlothermpumpe,,Vakuumanlage,,Sammler,,Vorstufe,,Filter,,Xylol,,Überfüllsonde,,Rein-Ethanol,,Spülxylolvorlage,,Abgasstutzen,,Abpumpventil,,Mengenüberwachung,,,,,,,,,
10,Auslagerungsbehälter,,Bereich,,Roh-Safener-Extraktions-Pumpe,,Mixer,,Lösemittelsammler,,Lochscheibe,,System,,Phenothiazin,,Pulversystem,,Rückfluss,,Sumpfvorlage,,Stück,,Regelventil,,,,,,,,,,,
