,Behälter,bl1_0,Motor,bl1_1,Ort,bl1_2,Prozess,bl1_3,Zustand,bl1_4,Verbindung,bl1_5,Gang,bl1_6,Flüssigkeit,bl1_7,Vorlage,bl1_8,Ventil,bl1_9,Vorgang,bl1_10,Untersuchung,bl1_11,Stück,bl1_12,Beeinträchtigung,bl1_13,Hülle,bl1_14,Zeichen,bl1_15
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Container,,Sumpfaustragspumpe,,Betrieb,,Anzeige,,Einlauf,,Phenotiazin,,Abwassersammler,,Glykol,,Masevorlage,,Ablassventil,,Förderleistung,,Messung,,Saugstutzen,,Verstopfung,,Gehäuse,,Kolonne,
5,Flashtopf,,Vorlagepumpe,,Labor,,Marlothermanlage,,Phase,,Frischxylol,,Mulmrückstandssammler,,Destillatablauf,,Rein-Vorlage,,Bodenventil,,Dichte,,Xylolüberwachung,,Steckscheibe,,Funktionsstörung,,Entlüftung,,Wasser-Puffer,
6,Fällbehälter,,Vakuumaschine,,Menge,,Vakuumanlage,,Pulversystem,,Maske,,Mulm-RS-Sammler,,Ethanol,,Rein-MIBK-Vorlage,,Ventil,,Warmwasserüberlauf,,Leitfähigkeitsmessung,,Abgasstutzen,,Störung,,Mannlochdeckel,,Aufsatzkolonne,
7,Safener-Container,,Spülxylolpumpe,,Mangel,,Kontrolle,,Gesamtstatus,,Wasser/Xylol,,Sammler,,Roh-Ethanol,,ABC-Vorlage,,Taktungsventil,,Druck,,Standmessung,,Ende,,Teil-verstopfung,,Deckel,,Puffer,
8,Destillatablaufleitung,,Flüssigkeitsringpumpe,,Auffangvorrichtung,,Bühne,,Filter,,Dampf,,Lösemittelsammler,,Wasser,,MASE-Vorlage,,Druckluftventil,,Extraktion,,Probe,,Lochscheibe,,Beispielstörung,,Pumpengehäuse,,Wasserpuffer,
9,Auslagerungsbehälter,,Marlothermpumpe,,Kupplungreaktor,,Rührwerk,,Ansatz,,Spülxylol,,Lömi-Sammler,,Rein-Ethanol,,Spülxylolvorlage,,Abpumpventil,,Etiketten-Druck,,Mengenüberwachung,,Schichtende,,,,,,,
10,Tank,,Roh-Safener-Extraktions-Pumpe,,Stand,,Zeit,,System,,Streichdampf,,Rundgang,,Rückfluss,,Sumpfvorlage,,Regelventil,,Pumpenleistung,,,,,,,,,,,
11,Lösemittelcontainer,,HW-Pumpe,,"Be,-/Entlüftung",,Ablauf,,Status,,Xylol,,Schlosser,,Sperrflüssigkeit,,Hydrolyse-Vorlage,,,,,,,,,,,,,,,
