,cl_6,bl1_0,cl_1,bl1_1,cl_0,bl1_2,cl_18,bl1_3,cl_43,bl1_4,cl_30,bl1_5,cl_10,bl1_6,cl_4,bl1_7
0,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,
4,Kupplungreaktor,,Vorlagepumpe,,Auslagerungsbehälter,,Lömi-Container,,Tauchrohr,,Vakuummaschinen,,Saugseite,,ABC-Vorlage,
5,Abwassersammelbehälter,,Extraktionspumpe,,Einlaufleitung,,Container,,Ventil,,Vakuumaschine,,Druckleitung,,MASE-Vorlage,
6,Schlauchlager,,Spülxylol,,Überfüllsonde,,DMF-Container,,Ablassventil,,Vakuummaschine,,Saugleitung,,Rein-Vorlage,
7,Kupplungsreaktor,,Spülxylolpumpe,,Standmessung,,Mulm-Container,,Regelventil,,Vakuum-Anlage,,Saugstutzen,,Rein-MIBK-Vorlage,
8,Anlagenstand,,Roh-Safener-Extraktions-Pumpe,,Ablaufleitung,,Safener-Container,,Bodenventil,,Vakuumanlage,,Abgasleitung,,Vorlage,
9,Abwassersammler,,Probenahmepumpe,,Destillatablaufleitung,,Mulmcontainer,,Pumpengehäuse,,Visconvakuummaschinen,,Abgasstutzen,,,
10,Steckscheibe,,Frischxylol,,Destillatablauf,,,,,,,,,,,
11,Fällbehälter,,Spülxylolvorlage,,,,,,,,,,,,,
12,Mannlochdeckel,,HW-Pumpe,,,,,,,,,,,,,
13,Flüssigkeitsringpumpe,,Pumpe,,,,,,,,,,,,,
14,Flashtopf,,Leitung/Pumpe,,,,,,,,,,,,,
15,Taktungsventil,,,,,,,,,,,,,,,
16,Druckluftventil,,,,,,,,,,,,,,,
17,Trockenlaufsonde,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,
