,Behälter,bl1_0,Motor,bl1_1,Ort,bl1_2,Verbindung,bl1_3,Ergebnis,bl1_4,Zustand,bl1_5,Prozess,bl1_6,Gang,bl1_7,Abschnitt,bl1_8,Vorlage,bl1_9,Ventil,bl1_10,Vorgang,bl1_11,Beeinträchtigung,bl1_12,Hülle,bl1_13,Materie,bl1_14,Zeichen,bl1_15
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Container,,Sumpfaustragspumpe,,Menge,,Phenotiazin,,Dichtung,,Einlauf,,Anzeige,,Abwassersammler,,Oberphase,,Masevorlage,,Ablassventil,,Warmwasserüberlauf,,Verstopfung,,Gehäuse,,Flüssigkeit,,Kolonne,
5,Flashtopf,,Vorlagepumpe,,Auffangvorrichtung,,Frischxylol,,Förderleistung,,Pulversystem,,Marlothermanlage,,Mulmrückstandssammler,,Betrieb,,Rein-Vorlage,,Bodenventil,,Druck,,Funktionsstörung,,Entlüftung,,Wasser,,Wasser-Puffer,
6,Safener-Container,,Vakuumaschine,,Kupplungreaktor,,Maske,,Destillat,,Ansatz,,Vakuumanlage,,Mulm-RS-Sammler,,Phase,,Rein-MIBK-Vorlage,,Ventil,,Messung,,Störung,,Mannlochdeckel,,Ethanol,,Aufsatzkolonne,
7,Destillatablaufleitung,,Spülxylolpumpe,,Stand,,Wasser/Xylol,,Xyloldestillat,,Filter,,Bühne,,Sammler,,Destillatablauf,,ABC-Vorlage,,Taktungsventil,,Extraktion,,Teil-verstopfung,,Deckel,,Dampf,,Puffer,
8,Fällbehälter,,Flüssigkeitsringpumpe,,"Be,-/Entlüftung",,Spülxylol,,Saugstutzen,,Gesamtstatus,,Ablauf,,Lösemittelsammler,,Mulmphase,,MASE-Vorlage,,Druckluftventil,,Etiketten-Druck,,Beispielstörung,,Pumpengehäuse,,Sperrflüssigkeit,,Wasserpuffer,
9,Auslagerungsbehälter,,Marlothermpumpe,,Umpumpmenge,,Streichdampf,,Xylolüberwachung,,System,,Vakuum-Anlage,,Lömi-Sammler,,Zeit,,Spülxylolvorlage,,Abpumpventil,,Leitfähigkeitsmessung,,,,,,,,,
10,Lösemittelcontainer,,Roh-Safener-Extraktions-Pumpe,,Einsaugvorrichtung,,Roh-Ethanol,,Abgasstutzen,,Status,,Versuch,,Rundgang,,Wasserphase,,Sumpfvorlage,,Regelventil,,Standmessung,,,,,,,,,
11,Ablaufleitung,,HW-Pumpe,,Kupplungsreaktor,,Xylol,,Pumpenleistung,,Diazoeinlauf,,Reparatur,,Mulmsammler,,Xylolphase,,Hydrolyse-Vorlage,,,,,,,,,,,,,
12,Einlaufschauglas,,Leitung/Pumpe,,Anlagenstand,,Phenothiazin,,Kondensat,,Ordnung,,Temperaturanzeige,,Rückstandssammler,,,,,,,,,,,,,,,,,
13,Glas,,Motor,,Wärmekammer,,Rein-Ethanol,,Gleitringdichtung,,Frischansatz,,Probe,,,,,,,,,,,,,,,,,,,
14,Abwassersammelbehälter,,Pumpenhaus,,Rest,,Re-Xylol,,Mengenüberwachung,,,,,,,,,,,,,,,,,,,,,,,
15,Mulmcontainer,,Pumpe,,Soll-Menge,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Umpumpleitung,,Extraktionspumpe,,Haus,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Sieb,,Vakuummaschine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Lager,,Diazotiererpumpe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Druckleitung,,Pumpenmotor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Lömi-Container,,Probenahmepumpe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,DMF-Container,,Diazopumpe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Lösemittel-Container,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Schlauchlager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Sonde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Tanklager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Saugleitung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Einlaufleitung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Mulm-Container,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Schauglas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Leitung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Disulfatisierungsleitung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Fass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Behälter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Abgasleitung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
