,cl_2,bl1_0,cl_3,bl1_1,cl_8,bl1_2,cl_0,bl1_3,cl_35,bl1_4,cl_37,bl1_5,cl_17,bl1_6
0,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,
4,Kupplungreaktor,,Vorlagepumpe,,Tauchrohr,,Auslagerungsbehälter,,Lömi-Container,,Vakuummaschinen,,ABC-Vorlage,
5,Abwassersammelbehälter,,Extraktionspumpe,,Ventil,,Einlaufleitung,,Container,,Vakuumaschine,,MASE-Vorlage,
6,Schlauchlager,,Spülxylol,,Saugleitung,,Überfüllsonde,,DMF-Container,,Vakuummaschine,,Rein-Vorlage,
7,Kupplungsreaktor,,Spülxylolpumpe,,Ablassventil,,Standmessung,,Mulm-Container,,Vakuum-Anlage,,Rein-MIBK-Vorlage,
8,Anlagenstand,,Roh-Safener-Extraktions-Pumpe,,Regelventil,,Ablaufleitung,,Safener-Container,,Vakuumanlage,,Vorlage,
9,Abwassersammler,,Probenahmepumpe,,Saugstutzen,,Destillatablaufleitung,,Mulmcontainer,,Visconvakuummaschinen,,,
10,Steckscheibe,,Frischxylol,,Bodenventil,,Destillatablauf,,,,,,,
11,Fällbehälter,,Spülxylolvorlage,,Pumpengehäuse,,,,,,,,,
12,Mannlochdeckel,,HW-Pumpe,,,,,,,,,,,
13,Flüssigkeitsringpumpe,,Pumpe,,,,,,,,,,,
14,Taktungsventil,,Leitung/Pumpe,,,,,,,,,,,
15,Druckluftventil,,,,,,,,,,,,,
16,Trockenlaufsonde,,,,,,,,,,,,,
17,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,
74,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,
76,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,
78,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,
80,,,,,,,,,,,,,,
81,,,,,,,,,,,,,,
82,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,
84,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,
86,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,
88,,,,,,,,,,,,,,
89,,,,,,,,,,,,,,
90,,,,,,,,,,,,,,
91,,,,,,,,,,,,,,
92,,,,,,,,,,,,,,
93,,,,,,,,,,,,,,
94,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,
96,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,
98,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,
102,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,
104,,,,,,,,,,,,,,
105,,,,,,,,,,,,,,
106,,,,,,,,,,,,,,
107,,,,,,,,,,,,,,
108,,,,,,,,,,,,,,
109,,,,,,,,,,,,,,
110,,,,,,,,,,,,,,
111,,,,,,,,,,,,,,
112,,,,,,,,,,,,,,
113,,,,,,,,,,,,,,
114,,,,,,,,,,,,,,
115,,,,,,,,,,,,,,
116,,,,,,,,,,,,,,
117,,,,,,,,,,,,,,
118,,,,,,,,,,,,,,
119,,,,,,,,,,,,,,
120,,,,,,,,,,,,,,
121,,,,,,,,,,,,,,
122,,,,,,,,,,,,,,
123,,,,,,,,,,,,,,
124,,,,,,,,,,,,,,
125,,,,,,,,,,,,,,
126,,,,,,,,,,,,,,
127,,,,,,,,,,,,,,
128,,,,,,,,,,,,,,
129,,,,,,,,,,,,,,
130,,,,,,,,,,,,,,
