,Motor,bl1_0,Transportbehälter,bl1_1,Prozess,bl1_2,Drahts,bl1_3,Verbindung,bl1_4,Gang,bl1_5,Zustand,bl1_6,Formation,bl1_7,Material,bl1_8,Vorlage,bl1_9,Ergebnis,bl1_10,Ventil,bl1_11,Hülle,bl1_12,Entwicklungsabschnitt,bl1_13,Beeinträchtigung,bl1_14
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Sumpfaustragspumpe,,Container,,Förderleistung,,Druckleitung,,Phenotiazin,,Abwassersammler,,Warmwasserüberlauf,,Menge,,Dichtung,,Masevorlage,,Destillat,,Ablassventil,,Gehäuse,,Oberphase,,Verstopfung,
5,Vorlagepumpe,,Safener-Container,,Anzeige,,Trockenlaufsonde,,Frischxylol,,Mulmrückstandssammler,,Pulversystem,,Kolonne,,Polizeifilter,,Rein-Vorlage,,Xyloldestillat,,Bodenventil,,Entlüftung,,Betrieb,,Funktionsstörung,
6,Vakuumaschine,,Fällbehälter,,Marlothermanlage,,Sonde,,Maske,,Mulm-RS-Sammler,,Ansatz,,Aufsatzkolonne,,Schlauchlager,,Rein-MIBK-Vorlage,,Druck,,Ventil,,Mannlochdeckel,,Phase,,Störung,
7,Spülxylolpumpe,,Auslagerungsbehälter,,Auffangvorrichtung,,Destillatablaufleitung,,Wasser/Xylol,,Sammler,,Gesamtstatus,,Umpumpmenge,,Tanklager,,ABC-Vorlage,,Saugstutzen,,Taktungsventil,,Deckel,,Mulmphase,,Teil-verstopfung,
8,Flüssigkeitsringpumpe,,Lösemittelcontainer,,Messung,,Saugleitung,,Spülxylol,,Stand,,System,,Gleiteinheit,,Filter,,MASE-Vorlage,,Xylolüberwachung,,Druckluftventil,,Pumpengehäuse,,Wasserphase,,Beispielstörung,
9,Marlothermpumpe,,Einlaufschauglas,,Destillatablauf,,Einlaufleitung,,Streichdampf,,Lösemittelsammler,,Status,,Anlagenstand,,Hechtfilter,,Spülxylolvorlage,,Etiketten-Druck,,Abpumpventil,,Sieb,,Xylolphase,,,
10,Roh-Safener-Extraktions-Pumpe,,Abwassersammelbehälter,,Vakuumanlage,,Überfüllsonde,,Ethanol,,Lömi-Sammler,,Diazoeinlauf,,Gleitringeinheit,,Glas,,Sumpfvorlage,,Abgasstutzen,,Regelventil,,Haus,,,,,
11,HW-Pumpe,,Mulmcontainer,,Probe,,Leitung,,Roh-Ethanol,,Rundgang,,Ordnung,,Rest,,Gleitringdichtung,,Hydrolyse-Vorlage,,Mengenüberwachung,,,,,,,,,
12,Leitung/Pumpe,,Lömi-Container,,Pumpenleistung,,Ablaufleitung,,Xylol,,Mulmsammler,,Frischansatz,,Soll-Menge,,Lager,,,,,,,,,,,,,
13,Motor,,DMF-Container,,Einsaugvorrichtung,,Disulfatisierungsleitung,,Phenothiazin,,Rückstandssammler,,,,,,,,,,,,,,,,,,,
14,Pumpenhaus,,Mulm-Container,,Ablauf,,Abgasleitung,,Rein-Ethanol,,,,,,,,,,,,,,,,,,,,,
15,Pumpe,,Schauglas,,Versuch,,Umpumpleitung,,Re-Xylol,,,,,,,,,,,,,,,,,,,,,
16,Extraktionspumpe,,Behälter,,Temperaturanzeige,,,,,,,,,,,,,,,,,,,,,,,,,
17,Vakuummaschine,,Fass,,Vakuum-Anlage,,,,,,,,,,,,,,,,,,,,,,,,,
18,Diazotiererpumpe,,Lösemittel-Container,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Pumpenmotor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Probenahmepumpe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Diazopumpe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
