,Struktur,bl1_0,Software,bl1_1,Daten,bl1_2,Code,bl1_3,Prozess,bl1_4,Anordnung,bl1_5,Unternehmung,bl1_6,Tun,bl1_7,Baustein,bl1_8,Methode,bl1_9,Ereignis,bl1_10,Arbeit,bl1_11,Vorstellung,bl1_12,Wesens,bl1_13,Sprachen,bl1_14,Gebäude,bl1_15,Rolle,bl1_16,Systeme,bl1_17,Dateien,bl1_18,Datenbanken,bl1_19,Systemen,bl1_20,Beschreibung,bl1_21
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Überblicksartikel,,E-Mail-Server,,Schlüssel,,Framework,,Untersuchung,,Tabelle,,Datenprotokollierungs-Bibliothek,,Passwort,,Masseneinsatz,,DTA-Verfahren,,Logging,,Datenbank,,Bestellung,,Architektur,,Datenbanksprachen,,Archiv,,Benutzer,,Softwaresysteme,,Logdateien,,Logging-Datenbanken,,Linux-Systemen,,Attribut,
5,Datenbanksystem,,Computerprogramm,,Information,,Laufzeitfehler,,Verbrauchsforschung,,Verteilung,,DINI-Datenbank,,Sicherheit,,Teil,,Ausfallsicherheit,,Nxlogging,,Problem,,Datenaufsichtssprache,,RDF-Format,,Programmiersprache,,Hauptspeicher,,Abweichende,,Objektdatenbanksysteme,,Quellcodedateien,,Operations-Datenbanken,,Windows-Systemen,,Datenbeschreibung,
6,Verteilungsmuster,,Dokumenten-Server,,Nutzdaten,,Feldname,,Abfrage,,Lastverteilung,,Webservice,,Standardverhalten,,Ereignis,,Methode,,Ereignis,,Verarbeitung,,Menge,,Spezialfall,,Datenbank-)Abfragesprache,,Institut,,Datenbankentwickler,,NoSQL-Systeme,,Protokolldateien,,Graphdatenbanken,,Datenbanksystemen,,XML-Format,
7,Datenbankmodell,,Dokumentenserver,,Nettodaten,,Markt,,Auswertung,,Zieltabelle,,Unterschied,,Zustand,,Verfügbarkeit,,Verfahren,,Language,,Methode,,Datensatzbegrenzung,,Rolle,,Datenmanipulationssprache,,Speicher,,Betreiber,,Datenbanksysteme,,CSV-Dateien,,NoSQL-Datenbanken,,Datenspeichersystemen,,Beschreibung,
8,Relationale-Datenbank-Muster,,Master-Server,,Randdaten,,Feld,,Protokollzeile,,Liste,,Service,,Verhalten,,Nachteil,,Technologie,,Modeling,,Funktion,,Schema,,Wert,,Sprache,,Universität,,Paketquelle,,Publikationsverbund,,Log-Dateien,,Objektdatenbanken,,Versionsverwaltungssystemen,,Systembeschreibung,
9,Netzwerkdatenbankmodell,,Preprint-Server,,Projektdaten,,Befehl,,Ausfall,,Lastenverteilung,,Transaktion,,Programmfehler,,Einsatz,,Programmzustand,,Tracing,,Objekt,,Fremdschlüsselbegrenzung,,Eigenschaft,,Teilsprachen,,Humboldt-Universität,,Datentyp,,Verbund,,,,,,,,,
