,Anordnung,bl1_0,Verhalten,bl1_1,Software,bl1_2,Code,bl1_3,Unternehmung,bl1_4,Daten,bl1_5,Gesamtheit,bl1_6,Ereignis,bl1_7,Sprachen,bl1_8,Wesens,bl1_9,Gebäude,bl1_10,Rolle,bl1_11,Attribut,bl1_12,Systeme,bl1_13,Baustein,bl1_14,Beziehung,bl1_15,Form,bl1_16,Struktur,bl1_17,Dateien,bl1_18,Datenbanken,bl1_19,Systemen,bl1_20
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Verteilung,,Beschreibung,,E-Mail-Server,,Einsatz,,Datenprotokollierungs-Bibliothek,,Information,,Universitäts-Website,,Logging,,Datenbanksprachen,,Bestellung,,Archiv,,Benutzer,,Passwort,,Softwaresysteme,,Ereignis,,Schnittstelle,,Format,,Objektdatenbankmodell,,Logdateien,,Logging-Datenbanken,,Linux-Systemen,
5,Zieltabelle,,Systementwicklung,,Computerprogramm,,Name,,Masseneinsatz,,Nutzdaten,,Blog-Eintrag,,Nxlogging,,Programmiersprache,,Architektur,,Hauptspeicher,,Abweichende,,Attribut,,Objektdatenbanksysteme,,Verfügbarkeit,,Zusammenhang,,Anwendung,,Vererbungshierarchie,,Quellcodedateien,,Operations-Datenbanken,,Windows-Systemen,
6,Datenbanksystem,,Systembeschreibung,,Dokumenten-Server,,Model,,Datenbank,,Nettodaten,,Abmeldungen,,Ereignis,,Datenbank-)Abfragesprache,,Schema,,Institut,,Betreiber,,Datensatzbegrenzung,,NoSQL-Systeme,,Datenmenge,,Paketquelle,,XML-Format,,Klassenhierarchie,,Protokolldateien,,Graphdatenbanken,,Datenbanksystemen,
7,Verteilungsmuster,,Nutzerverhalten,,Dokumentenserver,,Schlüssel,,Webservice,,Randdaten,,Menge,,Modeling,,Abfragesprache,,Spezialfall,,Speicher,,Datenbankmodell,,Fremdschlüsselbegrenzung,,Datenbanksysteme,,Zeichenfolge,,Objekt,,Aktualisieren,,Berechnungsmodell,,CSV-Dateien,,NoSQL-Datenbanken,,Datenspeichersystemen,
8,Hashtabelle,,Tabellenzeile,,Master-Server,,Modell,,DINI-Datenbank,,Nutzungsdaten,,Webseite,,Tracing,,Datenmanipulationssprache,,Rolle,,Universität,,Datentyp,,Wert,,Verbund,,Grundlage,,Peer-to-Peer-Netzwerk,,Installieren,,Datenmodell,,Log-Dateien,,Objektdatenbanken,,Versionsverwaltungssystemen,
9,History-Tabelle,,Verwaltung,,Preprint-Server,,Befehl,,Unterschied,,Fotodaten,,Dokumentation,,Beginning,,Sprache,,Listen­form,,Humboldt-Universität,,Netzwerkdatenbankmodell,,Ganzzahl,,Publikationsverbund,,Quelle,,Netzwerk,,Tabellenform,,,,,,,,,
