,Anordnung,bl1_0,Software,bl1_1,Wirkung,bl1_2,Daten,bl1_3,Gesamtheit,bl1_4,Beziehung,bl1_5,Ereignis,bl1_6,Stück,bl1_7,Einsatz,bl1_8,Wesens,bl1_9,Aufzählung,bl1_10,Einträge,bl1_11,Datenbanken,bl1_12,Systemen,bl1_13,Systeme,bl1_14,Dateien,bl1_15,Konstrukt,bl1_16,Gebäude,bl1_17
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Verteilung,,GurockSoftware,,Datenprotokollierungs-Bibliothek,,Information,,Universitäts-Website,,Schnittstelle,,Logging,,Format,,Masseneinsatz,,Architektur,,Attribut,,Anwendungsseite,,Logging-Datenbanken,,Linux-Systemen,,Softwaresysteme,,Logdateien,,Objektdatenbankmodell,,Hauptspeicher,
5,Zieltabelle,,E-Mail-Server,,Datenaufsichtssprache,,Nutzdaten,,Blog-Eintrag,,Zusammenhang,,Nxlogging,,Abweichende,,Verarbeitung,,Listen­form,,Datenbeschreibung,,Seite,,Operations-Datenbanken,,Windows-Systemen,,Objektdatenbanksysteme,,Quellcodedateien,,Datenbankmodell,,Speicher,
6,Datenbanksystem,,Computerprogramm,,Datenbank,,Nettodaten,,Abmeldungen,,Funktion,,Ereignis,,Teil,,Einsatz,,Sprache,,RDF-Format,,Tabellenzeile,,Graphdatenbanken,,Datenbanksystemen,,NoSQL-Systeme,,Protokolldateien,,Berechnungsmodell,,Universität,
7,Verteilungsmuster,,Dokumenten-Server,,Menge,,Nutzungsdaten,,Abfrage,,Name,,Modeling,,Ereignis,,Systementwicklung,,Eigenschaft,,XML-Format,,Protokollzeile,,NoSQL-Datenbanken,,Datenspeichersystemen,,Datenbanksysteme,,CSV-Dateien,,Datenmodell,,Humboldt-Universität,
8,Hashtabelle,,Hochschulschriftenserver,,DINI-Datenbank,,Randdaten,,Standardverhalten,,Objekt,,Tracing,,Feld,,Stapelverarbeitung,,System,,Beschreibung,,Zeile,,Objektdatenbanken,,Versionsverwaltungssystemen,,Publikationsverbund,,Log-Dateien,,Netzwerkdatenbankmodell,,Datenspeicher,
9,History-Tabelle,,Anwendungsprogramm,,Programmiersprache,,Fotodaten,,Verhalten,,Paketquelle,,Beginning,,Ende,,Entwicklung,,Struktur,,Systembeschreibung,,,,,,,,,,,,,,,
10,Transaktionstabelle,,Dokumentenserver,,Datenbank-)Abfragesprache,,Projektdaten,,Website,,Verfahren,,Processing,,Publikation,,,,,,,,,,,,,,,,,,,,,
