,cl_0,bl1_0,cl_6,bl1_1,cl_5,bl1_2,cl_9,bl1_3,cl_11,bl1_4,cl_29,bl1_5,cl_40,bl1_6,cl_44,bl1_7,cl_24,bl1_8,cl_43,bl1_9,cl_50,bl1_10,cl_41,bl1_11,cl_13,bl1_12,cl_94,bl1_13,cl_59,bl1_14,cl_38,bl1_15,cl_14,bl1_16
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Originalanweisungen,,Webanwendungen,,Open-Source-Software,,Form,,Windows,,Speicheradresse,,Konzept,,Algorithmus,,Problemlösung,,Ressourcenverbrauch,,Thema,,Tätigkeit,,Projektphasen,,Quelltextdateien,,Rahmen,,Arbeitsschritt,,Begriff,
5,Quellcodeanweisung,,Programmcode,,Software,,Dokumentation,,Computer,,Hilfsvariable,,Projekt,,Newton-Verfahren,,Hilfe,,Übertragungsaufwand,,Problem,,Arbeit,,Anwendungssystems,,Wiki-Codes,,Bestandteil,,Vorgang,,Ausdruck,
6,Schleifenkontrollanweisungen,,Codegenerator,,Softwareentwicklung,,Prüfung,,Desktop-Bereich,,Variable,,Verfahren,,Iterationsverfahren,,Lösung,,Speicherverbrauch,,Beispiel,,Aktivität,,Produktlebenszyklus,,Quelltextformatierung,,Verlauf,,Übersetzungsvorgang,,Zweck,
7,Versionsverwaltungssysteme,,Programmbibliothek,,Plattformunabhängigkeit,,Verwendung,,CPU-Typ,,Programmausführung,,Vorgehen,,Ggt-algorithmus,,Aufgabenstellung,,Entwicklungsaufwand,,Ergebnis,,Teamarbeit,,Anforderungsanalyse,,Quelltextdaten,,Bereich,,Prozess,,Bedeutung,
8,Unix-Anwendungen,,Code,,Quelloffene-software,,Anwendung,,Betriebssystem,,SQL-Anweisungen,,Methode,,Approximationen,,Voraussetzung,,Aufwand,,Ziel,,Interaktion,,Software-Lebenszyklus,,Quelltext,,Teil,,Schritt,,Sinn,
9,Programmfunktionen,,Zwischencode,,Programmiersprache,,Änderung,,Server-Bereich,,Unterprogramm,,System,,Iterationsmethode,,Möglichkeit,,Anpassungsaufwand,,Kriterium,,,,,,,,,,,,,
10,User-Interaktion,,Java-Compiler,,"Open-Source""-Lizenz",,Veränderung,,Arbeitsspeicher,,Eingabedaten,,Verhalten,,Iteration,,Aufgabe,,,,,,,,,,,,,,,,,
11,Maschinenprogrammen,,Maschinensprache,,Programmierer,,Ausführung,,Prozessor,,Daten,,Rechnerkonzept,,,,,,,,,,,,,,,,,,,,,
12,Einrückungsstil,,Bytecode,,Individualsoftware,,Umsetzung,,EDSAC-Rechner,,Datenstruktur,,Prinzip,,,,,,,,,,,,,,,,,,,,,
