,Software,bl1_0,Code,bl1_1,Verlauf,bl1_2,Verhalten,bl1_3,Programme,bl1_4,Sprache,bl1_5,Mensch,bl1_6,Beziehung,bl1_7,Mittel,bl1_8,Veränderung,bl1_9,Methode,bl1_10,Aspekt,bl1_11,Wesens,bl1_12,Vorstellung,bl1_13,Erläuterung,bl1_14,Kleidung,bl1_15,Beschreibung,bl1_16,Fähigkeit,bl1_17,Unterstützung,bl1_18,Anweisungen,bl1_19,Möglichkeit,bl1_20
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Java-Compiler,,Endung,,Übersetzungsvorgang,,Prinzip,,Binärprogramme,,Schreibweise,,Mensch,,Mensch,,Binärprogramm,,Anpassung,,Programm,,Kriterium,,Lage,,Zielplattform,,Prüfung,,Schleife,,Format,,Erstellen,,Ressourcenverbrauch,,Ausgabeanweisungen,,Sicht,
5,Computerprogramm,,Maschinencode,,Analyse,,Ggt-algorithmus,,Formatierung,,Zielsystem,,Benutzer,,Sinusfunktion,,Software,,Neuentwicklung,,EDVAC-Rechner,,Thema,,Architektur,,Methode,,Vergleich,,Mathematik,,Rechenschritt,,Funktionalität,,Speicherverbrauch,,Originalanweisungen,,Endanwendersicht,
6,Lösung,,Zielcode,,Vorgang,,Performanzanalyse,,Software-Lebenszyklus,,Quelltext,,Obfuscator,,Teamarbeit,,Entwicklungsaufwand,,Anwendung,,Methode,,Jahr,,Ausdruck,,Zahl,,Dokumentation,,Zeit,,Berechnung,,Quellcode-Portabilität,,Veränderung,,Schleifenkontrollanweisungen,,Zugriff,
7,Prozessor,,Zeigervariable,,Fällen,,Algorithmus,,Compilezeit,,Programmiersprache,,N{\text,,Verbindung,,Teiler,,Änderung,,EDSAC-Rechner,,Bedeutung,,Stellung,,Verwendung,,Vorschrift,,Informatik,,Beschreibung,,Portabilität,,Einzelnachweis,,SQL-Anweisungen,,Erstellungsmöglichkeit,
8,Windows,,Nullstelle,,Aktualisierung,,Verlauf,,Einarbeitungszeit,,Teil,,Editor,,Programmierumgebung,,Aufwand,,Ausführung,,Programmiergerät,,Qualität,,Aktivität,,Cross-Plattform,,Ablaufanweisung,,Lebensphase,,Code,,Schutzfähigkeit,,Hilfe,,Ausdrücke/Anweisungen,,Verwechslungsmöglichkeit,
9,Dienstprogramm,,Bestandteil,,Ziel,,Problem,,Unterprogramme,,Java,,Proprietär,,Softwareentwicklung,,Arbeitsplatzrechner,,Bereich,,Iterationsmethode,,Fixpunkt,,Vorgehen,,Begriff,,Kommentar,,FOREACH-Schleife,,Schritt,,Lauffähigkeit,,,,,,,
