,cl_0,bl1_0,cl_18,bl1_1,cl_20,bl1_2,cl_40,bl1_3,cl_80,bl1_4,cl_44,bl1_5,cl_38,bl1_6,cl_41,bl1_7,cl_88,bl1_8,cl_17,bl1_9,cl_24,bl1_10,cl_82,bl1_11,cl_35,bl1_12,cl_11,bl1_13,cl_3,bl1_14
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Ausgabeanweisungen,,Java-Compiler,,Umsetzung,,Open-Source-Software,,Speicheradresse,,Algorithmus,,Microcomputer,,Betriebssystem,,Prinzip,,Ziel,,Ressourcenverbrauch,,Voraussetzung,,Gleichung,,Projektphasen,,Webanwendungen,
5,Performanzanalyse,,Maschinensprache,,Form,,Anwendungssoftware,,Variable,,Iteration,,EDVAC-Rechner,,Apple-Rechnern,,Verfahren,,Thema,,Entwicklungsaufwand,,Problemlösung,,Kepler-Gleichung,,Anwendungssystems,,Multi-Channel-Apps,
6,Maschinenprogrammen,,Precompiler,,Dokumentation,,Software,,Unterprogramm,,Iterationsverfahren,,Computerprogramm,,Prozessor,,Konzept,,Beispiel,,Aufwand,,Möglichkeit,,Approximationen,,Produktlebenszyklus,,Plattformunabhängigkeit,
7,User-Interaktion,,Laufzeitumgebungen,,Berechnung,,Individualsoftware,,Programmausführung,,Ggt-algorithmus,,Großrechnern,,Desktop-Bereich,,Methode,,Kriterium,,Übertragungsaufwand,,Aufgabenstellung,,Nullstelle,,Software-Lebenszyklus,,Cross-Plattform,
8,Endanwendersicht,,Programmcode,,Analyse,,Softwareentwicklung,,SQL-Anweisungen,,Compilezeit,,Computer,,Prozessortyp,,Rechnerkonzept,,Ergebnis,,Speicherverbrauch,,Aufgabe,,Newton-Verfahren,,Anforderungsanalyse,,Hybrid-Apps,
9,Stapelprogramme,,Maschinencodes,,Erstellung,,Softwarequalität,,Eingabedaten,,Iterator,,EDSAC-Rechner,,Server-Bereich,,System,,Problem,,Anpassungsaufwand,,Lösung,,Sinusfunktion,,,,,
10,Einrückungsstil,,Bytecode,,Anpassung,,Quelloffene-software,,Datenstruktur,,Iterationsmethode,,Rechner,,CPU-Typ,,,,,,,,,,,,,,,
11,Maschinenprogramme,,Java-Programme,,Ausführung,,Programmiersprache,,Unterprogramme,,Compilezeit-Phase,,Arbeitsplatzrechner,,,,,,,,,,,,,,,,,
12,Codeerstellung,,Programm-Quellcode,,Entwicklung,,"Open-Source""-Lizenz",,Hilfsvariable,,,,,,,,,,,,,,,,,,,,,
13,Entwicklertest,,Assemblersprache,,Anwendung,,Programmieren,,,,,,,,,,,,,,,,,,,,,,,
