,Prozess,bl1_0,Software,bl1_1,Code,bl1_2,Anordnung,bl1_3,Methode,bl1_4,Vorstellung,bl1_5,Wesens,bl1_6,Veränderung,bl1_7,Sache,bl1_8,Aspekt,bl1_9,Tun,bl1_10,Richtung,bl1_11,Computer,bl1_12,Verbindung,bl1_13,Überlieferung,bl1_14,Erklärung,bl1_15,Anweisungen,bl1_16,Person,bl1_17
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Einarbeitungszeit,,Java-Compiler,,Endung,,Sicht,,Programm,,Zielplattform,,Schreibweise,,Anpassung,,Nullstelle,,Kriterium,,Prinzip,,Übersetzungsvorgang,,Computer,,Programmierumgebung,,Quelltext,,Vergleich,,Ausgabeanweisungen,,Benutzer,
5,Operation,,Computerprogramm,,Maschinencode,,Zielsystem,,Methode,,Methode,,Architektur,,Neuentwicklung,,Problem,,Thema,,Teamarbeit,,Vorgang,,EDVAC-Rechner,,Verbindung,,Aktualisierung,,Dokumentation,,Originalanweisungen,,Obfuscator,
6,Softwareentwicklung,,Lösung,,Zielcode,,Paket,,Iterationsmethode,,Zahl,,Datenstruktur,,Anwendung,,Programmierdokumentation,,Jahr,,Ziel,,Formatierung,,EDSAC-Rechner,,Urheber,,Microsystems,,Test,,Schleifenkontrollanweisungen,,Konsulat,
7,Ausführungszeitraum,,Prozessor,,Zeigervariable,,Phase,,Stellung,,Verwendung,,Adresse,,Änderung,,Funktion,,Bedeutung,,Verhalten,,Übersetzen,,Arbeitsplatzrechner,,Weblink,,Anwendungssystems,,Richtlinie,,SQL-Anweisungen,,Prozessortyp,
8,Produktlebenszyklus,,Dienstprogramm,,Bestandteil,,Verarbeitungsvorschrift,,Verfahren,,Übertragungsaufwand,,Portabilität,,Ausführung,,Stelle,,Qualität,,Entwicklungsaufwand,,Schleife,,Maschine,,Iterator,,Desktop-Bereich,,Aufrufbefehl,,Ausdrücke/Anweisungen,,CPU-Typ,
9,Zeitraum,,Quelloffene-software,,Syntaxfehler,,Endanwendersicht,,Zweck,,Cross-Plattform,,Sache,,Programmausführung,,Sache,,Ausdruck,,Aufwand,,Fall,,Rechner,,Umgebung,,Server-Bereich,,Vergleichsbefehl,,,,,
10,Laufzeit,,Computer,,Bytecode,,Programmstruktur,,Werkzeug,,Code,,Quellcode-Portabilität,,Version,,Gleichung,,Fixpunkt,,Regel,,FOREACH-Schleife,,Microcomputer,,Online-Verbindung,,Programmtext,,,,,,,
