,Software,bl1_0,Prozess,bl1_1,Struktur,bl1_2,Funktion,bl1_3,Code,bl1_4,Mensch,bl1_5,Methode,bl1_6,Erklärung,bl1_7,Aktion,bl1_8,Wesens,bl1_9,Beziehung,bl1_10,Vorstellung,bl1_11,Regel,bl1_12,Tun,bl1_13,Anweisungen,bl1_14
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Java-Compiler,,Formatierung,,Maschinencode,,Sinusfunktion,,Endung,,Mensch,,Programm,,Vergleich,,Übersetzungsvorgang,,Architektur,,Mensch,,Zielplattform,,Prinzip,,Ziel,,Ausgabeanweisungen,
5,Computerprogramm,,Jahr,,Programmcode,,Bedeutung,,Zielcode,,Benutzer,,EDVAC-Rechner,,Ausdruck,,Vorgang,,Adresse,,Verbindung,,Methode,,Verarbeitungsvorschrift,,Verhalten,,Originalanweisungen,
6,Lösung,,Einarbeitungszeit,,Zielsystem,,Nullstelle,,Zeigervariable,,Obfuscator,,Methode,,Dokumentation,,Paket,,Quellcode-Portabilität,,Programmierumgebung,,Übertragungsaufwand,,Vorschrift,,Entwicklungsaufwand,,Schleifenkontrollanweisungen,
7,Prozessor,,Ausführungszeitraum,,Quelltext,,Teil,,Syntaxfehler,,N{\text,,EDSAC-Rechner,,Programmausführung,,Operation,,Portabilität,,Funktion,,Cross-Plattform,,Annuitätsprinzip,,Management,,SQL-Anweisungen,
8,Dienstprogramm,,Produktlebenszyklus,,Phase,,Qualität,,Befehl,,Editor,,Iterationsmethode,,Ablaufanweisung,,Ausführung,,Oberflächenform,,Umgebung,,Begriff,,Regel,,Langzeitverhalten,,Ausdrücke/Anweisungen,
9,Maschine,,Zeitraum,,Datenstruktur,,Bestandteil,,Bytecode,,Programmierer,,Aufwand,,Test,,Anweisung,,Speicheradresse,,Online-Verbindung,,Softwarequalität,,,,,,,
10,Quelloffene-software,,Software-Lebenszyklus,,Bereich,,Programmierdokumentation,,Zwischencode,,Konsulat,,Verfahren,,Aufrufbefehl,,Plattform,,Eigenschaft,,,,,,,,,,,
11,Computer,,Anpassung,,Programmstruktur,,Funktion,,Quellcodeanweisung,,Urheber,,Werkzeug,,Variante,,Aufgabe,,,,,,,,,,,,,
12,Open-Source-Software,,Algorithmus,,Compilezeit-Phase,,Zahl,,Text,,Iterator,,Iterationsverfahren,,Vergleichsbefehl,,,,,,,,,,,,,,,
13,Systemprogramm,,Compilezeit,,Variable,,Datenbankaufruf,,Hilfsvariable,,Hersteller,,Newton-Verfahren,,,,,,,,,,,,,,,,,
14,Programmiersprache,,Problem,,Desktop-Bereich,,Stelle,,Quellcode,,Sprache,,Mittel,,,,,,,,,,,,,,,,,
