,cl_28,bl1_0,cl_14,bl1_1,cl_2,bl1_2,cl_10,bl1_3,cl_1,bl1_4,cl_21,bl1_5,cl_4,bl1_6,cl_26,bl1_7,cl_0,bl1_8,cl_3,bl1_9,cl_24,bl1_10,cl_54,bl1_11
0,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,
4,Java-Compiler,,Maschinenprogrammen,,Open-Source-Software,,Performanzanalyse,,Algorithmus,,Betriebssystem,,Dokumentation,,Ausgabeanweisungen,,Quelltext,,Aufruf,,Form,,Unterprogramm,
5,Precompiler,,EDVAC-Rechner,,Anwendungssoftware,,Einrückungsstil,,Iteration,,Microcomputer,,Analyse,,Originalanweisungen,,Programmtext,,Vergleichsbefehl,,Funktion,,Programmausführung,
6,Laufzeitumgebungen,,Stapelprogramme,,Software,,Codeerstellung,,Iterationsverfahren,,Computerprogramm,,Erstellung,,Quellcodeanweisung,,Text,,Anweisung,,Eigenschaft,,Hauptprogramme,
7,Programmcode,,Maschinenprogramme,,Individualsoftware,,Erstellungsmöglichkeit,,Verfahren,,Prozessor,,Anpassung,,Ablaufanweisung,,Texteditor,,Aufrufbefehl,,Ausführung,,Unterprogramme,
8,SQL-Anweisungen,,Entwicklertest,,Plattformunabhängigkeit,,Programmierdokumentation,,Ggt-algorithmus,,Computer,,Entwicklung,,Schleifenkontrollanweisungen,,Formatierung,,Befehl,,Qualität,,Programm,
9,Bytecode,,Quellprogramme,,Quelloffene-software,,Compilezeit,,Anwendung,,Rechner,,Neuentwicklung,,Ausdrücke/Anweisungen,,Quelltextformatierung,,,,,,,
10,Java-Programme,,Dialogprogramme,,Programmiersprache,,Datenbankaufruf,,Methode,,Arbeitsplatzrechner,,Entwurf,,,,,,,,,,,
11,Programm-Quellcode,,Binärprogramm,,"Open-Source""-Lizenz",,Compilezeit-Phase,,Iterationsmethode,,,,,,,,,,,,,,,
12,Code,,EDSAC-Rechner,,Cross-Plattform,,FOREACH-Schleife,,,,,,,,,,,,,,,,,
13,Programmierstil,,Binärprogramme,,Programmierung,,,,,,,,,,,,,,,,,,,
14,Maschinencode,,Hardwareumgebungen,,Programmierumgebung,,,,,,,,,,,,,,,,,,,
15,JIT-Compiler,,Rechnerumgebungen,,Programmierer,,,,,,,,,,,,,,,,,,,
16,Zwischencode,,Programmfunktionen,,Softwareprogrammierung,,,,,,,,,,,,,,,,,,,
17,Quellcode,,C-Programmen,,,,,,,,,,,,,,,,,,,,,
18,Zielcode,,,,,,,,,,,,,,,,,,,,,,,
19,Compiler,,,,,,,,,,,,,,,,,,,,,,,
20,Debugger,,,,,,,,,,,,,,,,,,,,,,,
21,Betriebssystemfunktionen,,,,,,,,,,,,,,,,,,,,,,,
