,Programm,bl1_0,Code,bl1_1,Programme,bl1_2,Wesens,bl1_3,Verlauf,bl1_4,Wert,bl1_5,Computer,bl1_6,Mensch,bl1_7,Aufforderung,bl1_8,Anweisungen,bl1_9
0,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,
4,Java-Compiler,,Zielcode,,Anpassung,,Bedeutung,,Übersetzungsvorgang,,Nullstelle,,Computer,,Entwurf,,Befehl,,Ausgabeanweisungen,
5,Computerprogramm,,Maschinencode,,Binärprogramme,,Quelltext,,Algorithmus,,Qualität,,EDVAC-Rechner,,N{\text,,Aufruf,,Originalanweisungen,
6,JIT-Compiler,,Programmiersprache,,Routine,,Ausführung,,Vorgang,,Entwicklungsaufwand,,EDSAC-Rechner,,Programmierer,,Datenbankaufruf,,Schleifenkontrollanweisungen,
7,Lösung,,Auszeichnungssprache,,Formatierung,,Methode,,Paket,,Zahl,,Arbeitsplatzrechner,,Konsulat,,Aufrufbefehl,,SQL-Anweisungen,
8,Prozessor,,Teil,,Compilezeit,,Programmausführung,,Ziel,,Teiler,,Maschine,,Stelle,,Vergleichsbefehl,,Ausdrücke/Anweisungen,
9,Dienstprogramm,,Zeigervariable,,Einarbeitungszeit,,Bereich,,Funktion,,Aufwand,,Rechner,,Sinn,,,,,
10,Anwendungssoftware,,Syntaxfehler,,Unterprogramme,,Iterationsmethode,,Schleife,,Übertragungsaufwand,,Microcomputer,,Programmtext,,,,,
11,Quelloffene-software,,Bytecode,,Neuentwicklung,,Portabilität,,Verfahren,,Werkzeug,,,,,,,,,
12,Unterprogramm,,Zwischencode,,Quelltextformatierung,,Quellcode-Portabilität,,Test,,Anpassungsaufwand,,,,,,,,,
13,Programm,,Quellcodeanweisung,,Management,,Oberflächenform,,Iterationsverfahren,,Softwarequalität,,,,,,,,,
14,Computer,,Ablaufanweisung,,Hauptprogramme,,Code,,Newton-Verfahren,,Iteration,,,,,,,,,
15,Systemprogramm,,Variable,,Zeit,,Sprache,,FOREACH-Schleife,,,,,,,,,,,
16,Open-Source-Software,,Anweisung,,Java-Programme,,Plattform,,Entwicklung,,,,,,,,,,,
17,Binärprogramm,,Programm-Quellcode,,Quellprogramme,,Form,,,,,,,,,,,,,
18,Software,,Fehler,,Stapelprogramme,,Eigenschaft,,,,,,,,,,,,,
19,Debugger,,Quellcode,,Maschinenprogramme,,System,,,,,,,,,,,,,
20,Compiler,,Text,,Dialogprogramme,,,,,,,,,,,,,,,
21,Problemlösung,,Umgebung,,,,,,,,,,,,,,,,,
22,Individualsoftware,,Hilfsvariable,,,,,,,,,,,,,,,,,
23,Precompiler,,HTML-Code,,,,,,,,,,,,,,,,,
24,Texteditor,,,,,,,,,,,,,,,,,,,
25,Betriebssystem,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,,,,,,,
