,cl_30,bl1_0,cl_28,bl1_1,cl_5,bl1_2,cl_40,bl1_3,cl_1,bl1_4,cl_4,bl1_5,cl_60,bl1_6,cl_33,bl1_7,cl_20,bl1_8,cl_45,bl1_9,cl_12,bl1_10,cl_48,bl1_11,cl_21,bl1_12,cl_54,bl1_13,cl_16,bl1_14,cl_25,bl1_15,cl_17,bl1_16,cl_6,bl1_17,cl_18,bl1_18
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Dienstreisender,,Klassenfahrt,,Hilfe,,Asien,,Reise,,Lehrer,,Bundesreisekostengesetz,,Dienstgeschäften,,Kraftfahrzeug,,Beschäftigte,,Gesellschaft,,Tag,,Arbeit,,Autofahrer,,Höchstdauer,,Ankunft,,Mitte,,Zeitaufwand,,Welt,
5,Mitfahrwunsch,,Schulausflug,,Gründung,,Irland,,Abi-Reise/Matura-Reise,,Schülerliste,,Reisekosten,,Betriebsstätte,,Wohnmobil,,Mitarbeiter,,Bildung,,Zeit,,Aktivität,,Kleintransporter,,Regelarbeitszeit,,Strandaufenthalt,,Hochphase,,Aufwand,,Land,
6,Schulbusschild,,Schulveranstaltungen,,Einrichtung,,Tschechien,,Weltreise,,Unterrichtsgang,,Werbungskosten,,Arbeitsstätte,,Fahrzeug,,Unternehmen,,Kultur,,Woche,,Leistung,,Fahrer,,Dauer,,Übernachtung,,Anfangphase,,Kosten,,Weltraum,
7,Fahrtzwecken,,Schulwanderungen,,Teilnahme,,Nordamerika,,Reiseziel,,Schülersammelliste,,Übernachtungskosten,,Dienststätte,,Fahrrad,,Arbeitgeber,,Geschichte,,Jahr,,Tätigkeit,,Kraftfahrer,,Arbeitszeit,,Anreise,,Vorphase,,Risiko,,Erde,
8,Trampkultur,,Unterrichtsveranstaltungen,,Organisation,,Europa,,Reiseform,,Musterschule,,Kilometergeld,,Dienstgang,,Auto,,Arbeitnehmer,,Jugend,,Tage,,Erholung,,Fahrgast,,Wegzeit,,Aufenthalt,,Beginn,,Aufwendung,,Kontinent,
9,Kurztrampen,,Schülerfahrt,,Veranstaltung,,Österreich,,Abenteuer,,Unterricht,,Fahrtkosten,,Auswärtstätigkeit,,Verkehrsmittel,,Arbeiter,,Literatur,,Monat,,Arbeitsleistung,,,,,,,,,,,,,
10,Frauenfahrt,,Abschlussfahrten,,Finanzierung,,Frankreich,,Weltumrundung,,Schule,,Trennungsgeld,,Dienststelle,,Transportmittel,,,,,,,,,,,,,,,,,,,,,
