,Bevölkerung,bl1_0,Ablauf,bl1_1,Verhalten,bl1_2,Geld,bl1_3,Reise,bl1_4,Thema,bl1_5,Zeitabschnitt,bl1_6,Fahrzeug,bl1_7,Anteil,bl1_8,Arbeit,bl1_9,Staaten,bl1_10,Verein,bl1_11,Folge,bl1_12,Gesellschaft,bl1_13,Beteiligung,bl1_14,Verwandter,bl1_15,Aktivität,bl1_16,Fahrt,bl1_17,Wesen,bl1_18,Arbeitsleistung,bl1_19,Veranstaltung,bl1_20,Betätigung,bl1_21
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Trampkultur,,Mitte,,Verbrechen,,Geld,,Abi-Reise/Matura-Reise,,Ziel,,Betrieb,,Pass,,Prozent,,Erziehungsarbeit,,Asien,,Haus,,Motivation,,Handel,,Anteil,,Kind,,Arbeitszeit,,Fahrt,,Dienstreisende,,Leistung,,Abenteuer,,Austauschreisen,
5,Arbeitsort,,Reisender,,Organisation,,Aufwand,,Tagesausflug,,Schild,,Gründung,,Kleintransporter,,Milliarde,,Tage,,Frankreich,,Österreich,,Linie,,Mitarbeiter,,Vielzahl,,Generation,,Verfügung,,Schülerfahrt,,Gastschüler,,Arbeitsleistung,,Haustürgeschäft,,Reisen,
6,Wagenklasse,,Beschäftigte,,Lernen,,Nicht-Schengen-Staat,,Klassenfahrt,,Rolle,,Dauer,,Auto,,Mitnahme,,Arbeitspflicht,,Deutschland,,Schulverein,,Schülerliste,,Arbeitgeber,,Unterstützung,,Soldat,,Richtung,,Frauenfahrt,,Dienstreisender,,Außendienst,,Schulveranstaltung,,Tramper-Bewegung,
7,Beförderungsklasse,,Geschichte,,Tipp,,Zeitaufwand,,Weltumrundung,,Reiseverkehrsmittel,,Interesse,,Schulbus,,Vorschuss,,Wiki-Form,,Schweiz,,Fahrtzweck,,Ausgabe,,Bahn,,Teilnahme,,Eltern,,Route,,Mitfahrt,,Weltreisender,,Emission,,Gesellschaft,,Hippie-Bewegung,
8,Dienststätte,,Autor,,Arbeit,,Taggeld,,Anreise,,Schulbusschild,,Zeit,,Schiff,,Zahl,,Pflicht,,Irland,,Verbindung,,Weltreiseführer,,Eisenbahn,,Einzelnachweis,,Gastfamilie,,Aktivität,,Schulfahrt,,Jugend,,Regelleistung,,Veranstaltung,,Auslandreisen,
9,Wohnung,,Schüler,,Beschreibung,,Übernachtungskosten,,Schulreise,,Inselsberg,,Reisedauer,,Dampfschiff,,Gebiet,,Form,,Europa,,Mensch,,Gefährdungsbeurteilung,,Gesellschaft,,Rahmen,,Familie,,Bestimmung,,Schul-/Klassenfahrt,,Radfernreisende,,,,,,,
10,Kultur,,Austauschjahr,,Durchführung,,Kilometergeld,,Mitreise,,Berg,,Hippie-Generation,,Autofahrer,,Transport,,Arbeitsleistung,,Tschechien,,Weblink,,Prestigemotivation,,Dienstgeschäft,,Aktivität,,EWR-Bürger,,,,,,,,,,,,,
11,Land,,Unterrichtsgang,,Unterweisung,,Kosten,,Studienreise,,Erlebnis,,Wegzeit,,Strecke,,Million,,Thema,,Kontinent,,Verein,,Beurteilung,,Unternehmen,,Hilfe,,,,,,,,,,,,,,,
12,Unterhaltungsbetrieb,,Band,,Verfahren,,Euro,,Flug,,Quelle,,Auswärtstätigkeit,,Fahrer,,Erholung,,Erde,,Nordamerika,,Zweck,,Auslage,,,,,,,,,,,,,,,,,,,
13,Wohnort,,Jahr,,Regelung,,Trennungsgeld,,Dienstreise,,Reiseführer,,Medieninteresse,,Kraftfahrzeug,,Bezug,,Reiseform,,Indien,,,,,,,,,,,,,,,,,,,,,,,
