,cl_1,bl1_0,cl_3,bl1_1,cl_4,bl1_2,cl_21,bl1_3,cl_14,bl1_4,cl_0,bl1_5,cl_23,bl1_6,cl_22,bl1_7,cl_31,bl1_8,cl_29,bl1_9,cl_16,bl1_10,cl_41,bl1_11,cl_6,bl1_12,cl_17,bl1_13,cl_7,bl1_14,cl_20,bl1_15
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Hochkulturschema,,Schülerfahrt,,Autofahrer,,Reise,,Asien,,Reiseverkehr,,Fahrtkosten,,Geschichte,,Beschäftigte,,Dienstgang,,Arbeitszeit,,Jahr,,Arbeitsleistung,,Veranstaltung,,Hochphase,,Übernachtung,
5,Schul-/Klassenfahrt,,Musterschule,,Fahrgast,,Auslandreisen,,Europa,,Linienverkehr,,Bundesreisekostengesetz,,Gesellschaft,,Arbeiter,,Auswärtstätigkeit,,Höchstdauer,,Woche,,Tätigkeit,,Durchführung,,Beginn,,Ankunft,
6,Dienstgeschäft,,Klassenfahrt,,Auto,,Abi-Reise/Matura-Reise,,Irland,,Eisenbahn,,Kilometergeld,,Bildung,,Arbeitnehmer,,Betriebsstätte,,Wegzeit,,Zeit,,Erziehungsarbeit,,Einrichtung,,Anfangphase,,Anreise,
7,Reiseverkehrsmittel,,Schulreise,,Kraftfahrzeug,,Geschäftsreise,,Österreich,,Freizeitverkehr,,Trennungsgeld,,Jugend,,Mitarbeiter,,Dienststelle,,Regelarbeitszeit,,Tag,,Arbeit,,Teilnahme,,Mitte,,Strandaufenthalt,
8,Dienstreisender,,Abschlussfahrten,,Fahrzeug,,Weltreise,,Kontinent,,Bahn,,Reisekosten,,Kultur,,Unternehmen,,Dienststätte,,Dauer,,Monat,,Leistung,,Organisation,,Vorphase,,Aufenthalt,
9,Mitfahrwunsch,,Studienfahrten,,Fahren,,Reisen,,Tschechien,,Strecke,,Werbungskosten,,Literatur,,Arbeitgeber,,Arbeitsstätte,,,,,,,,,,,,,
10,Schiffstrampen,,Schulveranstaltungen,,Wohnmobil,,Dienstreise,,Deutschland,,Überlandstrecken,,Übernachtungskosten,,,,,,,,,,,,,,,,,,,
11,Schulbusschild,,Gastschüler,,Kraftfahrer,,Forschungsweltreise,,Schweiz,,,,,,,,,,,,,,,,,,,,,,,
12,Fahrtenerlass,,Schülerliste,,Fahrer,,Studienreise,,,,,,,,,,,,,,,,,,,,,,,,,
13,Fahrtzwecken,,Schulfahrten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Bahntrampen,,Schülerfahrten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
