,Ablauf,bl1_0,Gang,bl1_1,Unternehmung,bl1_2,Bevölkerung,bl1_3,Geld,bl1_4,Verhalten,bl1_5,Zahl,bl1_6,Klasse,bl1_7,Wohnung,bl1_8,Reise,bl1_9,Staaten,bl1_10,Anordnung,bl1_11,Arbeit,bl1_12,Fahrzeug,bl1_13,Bewegung,bl1_14,Fahrt,bl1_15,Folge,bl1_16
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Arbeitszeit,,Reisender,,Abenteuer,,Wohnort,,Geld,,Verbrechen,,Milliarde,,Schild,,Außendienst,,Abi-Reise/Matura-Reise,,Österreich,,Schülerliste,,Erziehungsarbeit,,Wohnmobil,,Austauschreisen,,Schülerfahrt,,Motivation,
5,Mitte,,Beschäftigte,,Betrieb,,Betriebsstätte,,Aufwand,,Organisation,,Stelle,,Trivialschema,,Schulverein,,Klassenfahrt,,Asien,,Wandererlass,,Arbeitspflicht,,Auto,,Fahrt,,Frauenfahrt,,Gefährdungsbeurteilung,
6,Reiseverkehr,,Frau,,Mitnahme,,Bürger,,Nicht-Schengen-Staat,,Lernen,,Vielzahl,,Hochkulturschema,,Verbindung,,Schulreise,,Deutschland,,Schülersammelliste,,Leistung,,Schiff,,Reisen,,Mitfahrt,,Prestigemotivation,
7,Woche,,Dienstreisende,,Haustürgeschäft,,Arbeitsort,,Zeitaufwand,,Studie,,Ausgabe,,Polizei,,Wohlfahrtsverband,,Mitreise,,Schweiz,,Rechtsbegriff,,Pflicht,,Schulbus,,Tramper-Bewegung,,Schulfahrt,,Fahrtenprogramm,
8,Autor,,Weltreiseführer,,Arbeit,,Weltraum,,Taggeld,,Tipp,,Zahl,,Welt,,Caritasverband,,Studienreise,,Irland,,Bestimmung,,Dienstreise,,Autofahrer,,Hippie-Bewegung,,Schul-/Klassenfahrt,,Beurteilung,
9,Dienstreiseverkehr,,Gastschüler,,Medieninteresse,,Reiseziel,,Übernachtungskosten,,Beschreibung,,Gebiet,,Fahrtzweck,,Stadt,,Weltreise,,Europa,,Fahrtenerlass,,Dienst,,Fahrer,,Auslandreisen,,,,,
10,Regelarbeitszeit,,Anhalter,,Durchführung,,Arbeitsstätte,,Kilometergeld,,Thema,,Vorschuss,,Berg,,Familie,,Geschäftsreise,,Tschechien,,Erde,,Arbeitsleistung,,Kraftfahrzeug,,Reise,,,,,
11,Quelle,,Dienstreisender,,Schule,,Staat,,Kosten,,Transportmittel,,Million,,Wagenklasse,,Einrichtung,,Forschungsweltreise,,Kontinent,,Begriff,,Regelleistung,,Strecke,,,,,,,
