,cl_0,bl1_0,cl_1,bl1_1,cl_21,bl1_2,cl_27,bl1_3,cl_6,bl1_4,cl_2,bl1_5,cl_43,bl1_6,cl_44,bl1_7,cl_16,bl1_8,cl_76,bl1_9,cl_31,bl1_10,cl_5,bl1_11
0,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,
4,Hochkulturschema,,Schülerfahrt,,Reise,,Fahrtkosten,,Auto,,Beschäftigte,,Welt,,Geschichte,,Arbeitszeit,,Jahr,,Dienstgang,,Arbeitsleistung,
5,Schul-/Klassenfahrt,,Musterschule,,Auslandreisen,,Bundesreisekostengesetz,,Kraftfahrzeug,,Privatwirtschaft,,Europa,,Gesellschaft,,Höchstdauer,,Woche,,Auswärtstätigkeit,,Tätigkeit,
6,Dienstgeschäft,,Klassenfahrt,,Abi-Reise/Matura-Reise,,Kilometergeld,,Fahrzeug,,Arbeitnehmer,,Österreich,,Bildung,,Wegzeit,,Zeit,,Betriebsstätte,,Erziehungsarbeit,
7,Reiseverkehrsmittel,,Schulreise,,Geschäftsreise,,Trennungsgeld,,Flugzeug,,Mitarbeiter,,Kontinent,,Kultur,,Regelarbeitszeit,,Tag,,Dienststätte,,Arbeit,
8,Dienstreisender,,Abschlussfahrten,,Weltreise,,Reisekosten,,Fahren,,Unternehmen,,Deutschland,,Literatur,,Dauer,,Monat,,Arbeitsstätte,,Leistung,
9,Mitfahrwunsch,,Studienfahrten,,Reisen,,Werbungskosten,,Schiff,,Arbeitgeber,,Schweiz,,,,,,,,,,,
10,Schiffstrampen,,Schulveranstaltungen,,Dienstreise,,Übernachtungskosten,,Wohnmobil,,,,,,,,,,,,,,,
11,Schulbusschild,,Gastschüler,,Forschungsweltreise,,,,,,,,,,,,,,,,,,,
12,Fahrtenerlass,,Schülerliste,,Studienreise,,,,,,,,,,,,,,,,,,,
13,Fahrtzwecken,,Schulfahrten,,,,,,,,,,,,,,,,,,,,,
14,Bahntrampen,,Schülerfahrten,,,,,,,,,,,,,,,,,,,,,
15,Nächtigungsgeld,,Schulwanderungen,,,,,,,,,,,,,,,,,,,,,
16,Interkontinentalstrecken,,Schüler,,,,,,,,,,,,,,,,,,,,,
17,Landschulwoche,,Schulveranstaltung,,,,,,,,,,,,,,,,,,,,,
18,Trampkultur,,Schülersammelliste,,,,,,,,,,,,,,,,,,,,,
19,Erziehungszwecken,,Schulfahrt,,,,,,,,,,,,,,,,,,,,,
20,Kurztrampen,,Fahrtenprogramm,,,,,,,,,,,,,,,,,,,,,
21,Austauschreisen,,Unterrichtsveranstaltungen,,,,,,,,,,,,,,,,,,,,,
22,Frauenfahrt,,Schule,,,,,,,,,,,,,,,,,,,,,
