,Mensch,bl1_0,Bevölkerung,bl1_1,Ablauf,bl1_2,Darstellung,bl1_3,Verhalten,bl1_4,Geld,bl1_5,Unternehmung,bl1_6,Kleidungsstück,bl1_7,Reise,bl1_8,Anordnung,bl1_9,Bewegung,bl1_10,Staaten,bl1_11,Fahrzeug,bl1_12,Arbeit,bl1_13
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Reisender,,Wohnort,,Reiseverkehr,,Trivialschema,,Schild,,Aufwand,,Abenteuer,,Arbeitszeit,,Abi-Reise/Matura-Reise,,Schülerliste,,Austauschreisen,,Österreich,,Auto,,Erziehungsarbeit,
5,Beschäftigte,,Betriebsstätte,,Woche,,Studie,,Ziel,,Nicht-Schengen-Staat,,Betrieb,,Privatwirtschaft,,Klassenfahrt,,Reiseführer,,Fahrt,,Deutschland,,Schiff,,Arbeitspflicht,
6,Frau,,Bürger,,Dienstreiseverkehr,,Hochkulturschema,,Lernen,,Zeitaufwand,,Haustürgeschäft,,Inselsberg,,Schulreise,,Wandererlass,,Reisen,,Schweiz,,Schulbus,,Pflicht,
7,Dienstreisende,,Arbeitsort,,Regelarbeitszeit,,Schulbusschild,,Organisation,,Taggeld,,Medieninteresse,,Berg,,Mitreise,,Rahmen,,Tramper-Bewegung,,Europa,,Autofahrer,,Dienstreise,
8,Weltreiseführer,,Arbeitsstätte,,Jahrhundert,,Motivation,,Fahren,,Verkehrsmittel,,Arbeit,,Dauer,,Studienreise,,Wohlfahrtsverband,,Hippie-Bewegung,,Kontinent,,Kraftfahrzeug,,Gastfamilie,
9,Gastschüler,,Reiseziel,,Jahr,,Welt,,Beschreibung,,Kilometergeld,,Ausgabe,,Mensch,,Weltreise,,Schülersammelliste,,Auslandreisen,,Transitstaat,,Wohnmobil,,,
10,Anhalter,,Strandaufenthalt,,Zeit,,Bundesland,,Thema,,Übernachtungskosten,,Dienstgeschäft,,Bestandteil,,Geschäftsreise,,Beförderungsklasse,,Reise,,,,,,,
11,Dienstreisender,,Wagenklasse,,Tag,,Zahl,,Gebiet,,Kosten,,Interesse,,Teil,,Forschungsweltreise,,Fahrtenerlass,,,,,,,,,
12,Richter,,Staat,,Linienverkehr,,Wiki-Form,,Transportmittel,,Trennungsgeld,,Unterhaltungsbetrieb,,Wegzeit,,Schul-/Klassenfahrt,,,,,,,,,,,
13,Kind,,Ort,,Freizeitverkehr,,Form,,Treffen,,Nächtigungsgeld,,Einrichtung,,Zweck,,,,,,,,,,,,,
14,Arbeitgeber,,Land,,Landschulwoche,,Klasse,,Kennenlernen,,Reisekosten,,Unternehmen,,,,,,,,,,,,,,,
