,cl_0,bl1_0,cl_54,bl1_1,cl_4,bl1_2,cl_13,bl1_3,cl_3,bl1_4,cl_6,bl1_5,cl_11,bl1_6,cl_25,bl1_7,cl_32,bl1_8
0,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,
4,Hochkulturschema,,Schülerfahrt,,Fahrtkosten,,Autofahrer,,Abenteuer,,Jahr,,Arbeitszeit,,Dienstgang,,Arbeitsleistung,
5,Schul-/Klassenfahrt,,Klassenfahrt,,Bundesreisekostengesetz,,Fahrgast,,Auslandreisen,,Woche,,Höchstdauer,,Auswärtstätigkeit,,Tätigkeit,
6,Dienstgeschäft,,Schulreise,,Einkommensteuergesetz,,Auto,,Weltreise,,Zeit,,Wegzeit,,Betriebsstätte,,Motivation,
7,Reiseverkehrsmittel,,Abschlussfahrten,,Kilometergeld,,Kraftfahrzeug,,Reisen,,Tag,,Regelarbeitszeit,,Dienstreise,,Arbeit,
8,Mitfahrwunsch,,Studienfahrten,,Trennungsgeld,,Fahrzeug,,Reiseziel,,Monat,,Dauer,,Dienststätte,,Leistung,
9,Schiffstrampen,,Schulveranstaltungen,,Werbungskosten,,Fahren,,Reiseform,,Gelegenheit,,,,,,,
10,Schulbusschild,,Schulfahrten,,Übernachtungskosten,,,,,,,,,,,,,
11,Fahrtenerlass,,Schülerfahrten,,,,,,,,,,,,,,,
12,Fahrtzwecken,,Schulveranstaltung,,,,,,,,,,,,,,,
13,Bahntrampen,,Schulfahrt,,,,,,,,,,,,,,,
14,Nächtigungsgeld,,Fahrtenprogramm,,,,,,,,,,,,,,,
15,Interkontinentalstrecken,,Unterrichtsveranstaltungen,,,,,,,,,,,,,,,
16,Landschulwoche,,,,,,,,,,,,,,,,,
17,Trampkultur,,,,,,,,,,,,,,,,,
18,Erziehungszwecken,,,,,,,,,,,,,,,,,
19,Kurztrampen,,,,,,,,,,,,,,,,,
20,Austauschreisen,,,,,,,,,,,,,,,,,
21,Frauenfahrt,,,,,,,,,,,,,,,,,
22,Trivialschema,,,,,,,,,,,,,,,,,
23,Dienstreiseverkehr,,,,,,,,,,,,,,,,,
24,Wandererlass,,,,,,,,,,,,,,,,,
25,Personenverkehrsaufwand,,,,,,,,,,,,,,,,,
26,Fahrtzweck,,,,,,,,,,,,,,,,,
27,Trampertreffen,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,
