,Mensch,bl1_0,Ablauf,bl1_1,Bevölkerung,bl1_2,Geld,bl1_3,Darstellung,bl1_4,Unternehmung,bl1_5,Beziehung,bl1_6,Arbeit,bl1_7,Wohnung,bl1_8,Thema,bl1_9,Reise,bl1_10,Wort,bl1_11,Fahrzeug,bl1_12,Bewegung,bl1_13
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Reisender,,Arbeitszeit,,Wohnort,,Aufwand,,Bundesreisekostengesetz,,Ziel,,Fahrt,,Erziehungsarbeit,,Organisation,,Schild,,Abi-Reise/Matura-Reise,,Bundesland,,Auto,,Austauschreisen,
5,Frau,,Dienstreiseverkehr,,Betriebsstätte,,Zeitaufwand,,Studie,,Betrieb,,Schülerfahrt,,Nicht-Schengen-Staat,,Schulverein,,Reiseverkehrsmittel,,Klassenfahrt,,Science-Fiction-Roman,,Schulbus,,Reisen,
6,Dienstreisende,,Regelarbeitszeit,,Arbeitsort,,Taggeld,,Trivialschema,,Haustürgeschäft,,Reiseverkehr,,Lernen,,Einsatzorganisation,,Schulbusschild,,Schulreise,,Information,,Schiff,,Tramper-Bewegung,
7,Weltreiseführer,,Jahrhundert,,Reiseziel,,Verkehrsmittel,,Hochkulturschema,,Leistung,,Frauenfahrt,,Arbeitspflicht,,Wohlfahrtsverband,,Fahrtzweck,,Mitreise,,Bezeichnung,,Autofahrer,,Hippie-Bewegung,
8,Gastschüler,,Jahr,,Strandaufenthalt,,Kilometergeld,,Einkommensteuergesetz,,Interesse,,Verbindung,,Dienstreise,,Caritasverband,,Berg,,Weltreise,,Roman,,Kraftfahrzeug,,Auslandreisen,
9,Radfernreisende,,Zeit,,Staat,,Übernachtungskosten,,Wiki-Form,,Dienstgeschäft,,Linienverkehr,,Gastfamilie,,Familie,,Transportmittel,,Forschungsweltreise,,Verbrechen,,,,,
10,Arbeitsgesetz,,Tag,,Land,,Kosten,,Form,,Abenteuer,,Mitfahrt,,Thema,,Einrichtung,,Reiseführer,,Schul-/Klassenfahrt,,,,,,,
11,Mitarbeiter,,Dienstgang,,Ort,,Transitstaat,,Klasse,,Medieninteresse,,Freizeitverkehr,,Kennenlernen,,Verein,,Bestandteil,,,,,,,,,
12,Kind,,Landschulwoche,,Wagenklasse,,Trennungsgeld,,Rechtsbegriff,,Arbeit,,Schulfahrt,,,,,,,,,,,,,,,
13,Arbeitgeber,,Austauschjahr,,Stadt,,Nächtigungsgeld,,Begriff,,Auswärtstätigkeit,,Straßenverbindung,,,,,,,,,,,,,,,
14,Eisenbahn,,Woche,,Dorf,,Personenverkehrsaufwand,,Programm,,Tätigkeit,,,,,,,,,,,,,,,,,
