,experiment_datetime,modelname,topic,ANEA_date_used,out_of_domain_datasets,HF_limit,trainsize,testsize,out_samples_per_ft_step,finetuning_steps,batchsize,random_seed,epochs,trials,learning_rate,lr_decay_stepsize,metric_average,train_acc,test_accuracy,balanced_acc,F1,precision,recall,MCC

0,2022-07-11_20:15,MEDIC_approach,Datenbanken,2022-05-22,"{'anea': [], 'HF': [], 'hf_own': []}",None,0.8,0.2,"[0, 0, 0, 0]",4,32,73,3,1,1e-05,1,macro,[0.003367 0.003367 0.003367 0.003367 0.003367],0.0031031807602792862,0.056022408963585436,0.0043258859376015995,0.0026382578164717845,0.056022408963585436,-0.0006963080165012544

0,2022-07-11_20:15,MEDIC_approach,Datenbanken,2022-05-22,"{'anea': [], 'HF': [], 'hf_own': []}",None,0.8,0.2,"[0, 0, 0, 0]",4,32,73,3,1,1e-05,1,weighted,[0.003367 0.003367 0.003367 0.003367 0.003367],0.0031031807602792862,0.056022408963585436,0.0006923195485947429,0.0004330847314671916,0.0031031807602792862,-0.0006963080165012544

0,2022-07-11_20:15,MEDIC_approach,Datenbanken,2022-05-22,"{'anea': [], 'HF': [], 'hf_own': []}",None,0.8,0.2,"[0, 0, 0, 0]",4,32,73,3,1,2e-05,1,macro,[0.00257477 0.00297089 0.0046874  0.00653595 0.00950683],0.0069821567106283944,0.0718965718965719,0.0009309326583831876,0.05561457349700975,0.06290950040950041,-0.003530434024437659

0,2022-07-11_20:15,MEDIC_approach,Datenbanken,2022-05-22,"{'anea': [], 'HF': [], 'hf_own': []}",None,0.8,0.2,"[0, 0, 0, 0]",4,32,73,3,1,2e-05,1,weighted,[0.00257477 0.00297089 0.0046874  0.00653595 0.00950683],0.0069821567106283944,0.0718965718965719,0.012323362002886829,0.841997112195808,0.0069821567106283944,-0.003530434024437659

0,2022-07-11_20:16,MEDIC_approach,Datenbanken,2022-05-22,"{'anea': [], 'HF': [], 'hf_own': []}",None,0.8,0.2,"[0, 0, 0, 0]",4,32,73,3,1,3e-05,1,macro,[0.00534759 0.00613983 0.00878062 0.01287384 0.01888163],0.004654771140418929,0.0858897858897859,0.0028232915054248976,0.06388139805414551,0.07515356265356266,0.004128746327869328

0,2022-07-11_20:16,MEDIC_approach,Datenbanken,2022-05-22,"{'anea': [], 'HF': [], 'hf_own': []}",None,0.8,0.2,"[0, 0, 0, 0]",4,32,73,3,1,3e-05,1,weighted,[0.00534759 0.00613983 0.00878062 0.01287384 0.01888163],0.004654771140418929,0.0858897858897859,0.004938081817268408,0.9474085355848457,0.004654771140418929,0.004128746327869328

